ST,STATE,STCNTY,COUNTY,FIPS,SVI
37,NORTH CAROLINA,37019,Brunswick,37019020202,0.2304
37,NORTH CAROLINA,37019,Brunswick,37019020203,0.4021
37,NORTH CAROLINA,37019,Brunswick,37019020204,0.7149
37,NORTH CAROLINA,37019,Brunswick,37019020303,0.4604
37,NORTH CAROLINA,37019,Brunswick,37019020304,0.0731
37,NORTH CAROLINA,37019,Brunswick,37019020305,0.2295
37,NORTH CAROLINA,37019,Brunswick,37019020306,0.2254
37,NORTH CAROLINA,37019,Brunswick,37019020307,0.0167
37,NORTH CAROLINA,37019,Brunswick,37019020308,0.062
37,NORTH CAROLINA,37019,Brunswick,37019020309,0.0106
37,NORTH CAROLINA,37019,Brunswick,37019020310,0.2402
37,NORTH CAROLINA,37019,Brunswick,37019020402,0.1856
37,NORTH CAROLINA,37019,Brunswick,37019020403,0.6492
37,NORTH CAROLINA,37019,Brunswick,37019020404,0.5086
37,NORTH CAROLINA,37019,Brunswick,37019020405,0.5821
37,NORTH CAROLINA,37019,Brunswick,37019020504,0.0787
37,NORTH CAROLINA,37019,Brunswick,37019020505,0.6298
37,NORTH CAROLINA,37019,Brunswick,37019020506,0.4553
37,NORTH CAROLINA,37019,Brunswick,37019020507,0.2189
37,NORTH CAROLINA,37019,Brunswick,37019020508,0.1106
37,NORTH CAROLINA,37019,Brunswick,37019020509,0.2346
37,NORTH CAROLINA,37019,Brunswick,37019020510,0.298
37,NORTH CAROLINA,37019,Brunswick,37019020511,0.4678
37,NORTH CAROLINA,37019,Brunswick,37019020512,0.0796
37,NORTH CAROLINA,37019,Brunswick,37019020601,0.7566
37,NORTH CAROLINA,37019,Brunswick,37019020602,0.4378
37,NORTH CAROLINA,37019,Brunswick,37019020603,0.7663
37,NORTH CAROLINA,37019,Brunswick,37019990100,-999.0
37,NORTH CAROLINA,37021,Buncombe,37021000100,0.7233
37,NORTH CAROLINA,37021,Buncombe,37021000200,0.1819
37,NORTH CAROLINA,37021,Buncombe,37021000300,0.4216
37,NORTH CAROLINA,37021,Buncombe,37021000400,0.3193
37,NORTH CAROLINA,37021,Buncombe,37021000500,0.0565
37,NORTH CAROLINA,37021,Buncombe,37021000600,0.2869
37,NORTH CAROLINA,37021,Buncombe,37021000700,0.1634
37,NORTH CAROLINA,37021,Buncombe,37021000800,0.1365
37,NORTH CAROLINA,37021,Buncombe,37021000900,0.9301
37,NORTH CAROLINA,37021,Buncombe,37021001000,0.3373
37,NORTH CAROLINA,37021,Buncombe,37021001100,0.1421
37,NORTH CAROLINA,37021,Buncombe,37021001200,0.2712
37,NORTH CAROLINA,37021,Buncombe,37021001300,0.677
37,NORTH CAROLINA,37021,Buncombe,37021001400,0.6395
37,NORTH CAROLINA,37021,Buncombe,37021001500,0.5895
37,NORTH CAROLINA,37021,Buncombe,37021001600,0.4665
