ID,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Latitude,Longitude,Facility Type
47026,ELEC,Nissan of Roanoke Rapids,Roanoke Rapids,NC,27870,E,36.42331,-77.635287,CAR_DEALER
47028,ELEC,Griffin Nissan,Rockingham,NC,28379,E,34.918104,-79.744733,CAR_DEALER
47029,ELEC,Simmons Nissan,Mt. Airy,NC,27030,E,36.480616,-80.616003,CAR_DEALER
47030,ELEC,Simmons Nissan,Mt. Airy,NC,27030,E,36.480616,-80.616003,CAR_DEALER
47031,ELEC,Griffin Nissan,Rockingham,NC,28379,E,34.918104,-79.744733,CAR_DEALER
47032,ELEC,Ben Mynatt Nissan,Salisbury,NC,28147,E,35.644549,-80.488272,CAR_DEALER
47033,ELEC,Ben Mynatt Nissan,Salisbury,NC,28147,E,35.644549,-80.488272,CAR_DEALER
47034,ELEC,Classic Nissan - Sanford,Sanford,NC,27332,E,35.44411,-79.1282,CAR_DEALER
47035,ELEC,Classic Nissan - Sanford,Sanford,NC,27332,E,35.44411,-79.1282,CAR_DEALER
47036,ELEC,Pinehurst Nissan,Southern Pines,NC,28387,E,35.161067,-79.421191,CAR_DEALER
47037,ELEC,Pinehurst Nissan,Southern Pines,NC,28387,E,35.161067,-79.421191,CAR_DEALER
47038,ELEC,Classic Nissan - Statesville,Statesville,NC,28677,E,35.770417,-80.858363,CAR_DEALER
47040,ELEC,Crossroads Nissan - Wake Forest,Wake Forest,NC,27587,E,35.948971,-78.539171,CAR_DEALER
47041,ELEC,Crossroads Nissan - Wake Forest,Wake Forest,NC,27587,E,35.948971,-78.539171,CAR_DEALER
47042,ELEC,Wilkes Nissan,Wilkesboro,NC,28697,E,36.149969,-81.202184,CAR_DEALER
47043,ELEC,Wilkes Nissan,Wilkesboro,NC,28697,E,36.149969,-81.202184,CAR_DEALER
47044,ELEC,Capital Nissan - Wilmington,Wilmington,NC,28405,E,34.24769,-77.865815,CAR_DEALER
47045,ELEC,Capital Nissan - Wilmington,Wilmington,NC,28405,E,34.24769,-77.865815,CAR_DEALER
47046,ELEC,Lee Nissan,Wilson,NC,27896,E,35.756003,-77.9753,CAR_DEALER
47047,ELEC,Lee Nissan,Wilson,NC,27896,E,35.756003,-77.9753,CAR_DEALER
47048,ELEC,Modern Nissan,Winston-Salem,NC,27105,E,36.179741,-80.275364,CAR_DEALER
47049,ELEC,Modern Nissan,Winston-Salem,NC,27105,E,36.179741,-80.275364,CAR_DEALER
47117,ELEC,East Charlotte Nissan,Charlotte,NC,28227,E,35.167774,-80.742259,CAR_DEALER
47118,ELEC,East Charlotte Nissan,Charlotte,NC,28227,E,35.167774,-80.742259,CAR_DEALER
47119,ELEC,Scott Clark Nissan,Charlotte,NC,28273,E,35.111292,-80.881867,CAR_DEALER
47120,ELEC,Scott Clark Nissan,Charlotte,NC,28273,E,35.111292,-80.881867,CAR_DEALER
47121,ELEC,Haywood Community College,Clyde,NC,28721,E,35.525966,-82.927696,COLLEGE_CAMPUS
47122,ELEC,Modern Nissan - Concord,Concord,NC,28027,E,35.392063,-80.622777,CAR_DEALER
47123,ELEC,Modern Nissan - Lake Norman,Cornelius,NC,28031,E,35.467117,-80.872205,CAR_DEALER
47124,ELEC,Modern Nissan - Lake Norman,Cornelius,NC,28031,E,35.467117,-80.872205,CAR_DEALER
47126,ELEC,Durham County - Justice Center Parking Deck,Durham,NC,27701,E,35.99289,-78.9014,MUNI_GOV
47130,ELEC,Nissan of Elizabeth City,Elizabeth City,NC,27909,E,36.339936,-76.244936,CAR_DEALER
47131,ELEC,Nissan of Elizabeth City,Elizabeth City,NC,27909,E,36.339936,-76.244936,CAR_DEALER
47132,ELEC,Fred Anderson Nissan,Fayetteville,NC,28304,E,35.042419,-78.956747,CAR_DEALER
47184,ELEC,Asheboro Nissan,Asheboro,NC,27203,E,35.70458,-79.781748,CAR_DEALER
47185,ELEC,Asheboro Nissan,Asheboro,NC,27203,E,35.70458,-79.781748,CAR_DEALER
47186,ELEC,Anderson Nissan,Asheville,NC,28806,E,35.547866,-82.599474,CAR_DEALER
47187,ELEC,Anderson Nissan,Asheville,NC,28806,E,35.547866,-82.599474,CAR_DEALER
47189,ELEC,Black Mountain Public Safety Building,Black Mountain,NC,28711,E,35.619218,-82.320192,MUNI_GOV
47190,ELEC,AutoStar Nissan - Boone,Boone,NC,28607,E,36.222859,-81.63402,CAR_DEALER
47191,ELEC,AutoStar Nissan - Boone,Boone,NC,28607,E,36.222859,-81.63402,CAR_DEALER
